timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680591774770,307,Create Booking,200,OK,Thread Group 2-1,text,true,,445,529,1,2,https://restful-booker.herokuapp.com/booking,307,0,0
1680591775078,305,Get Booking ,200,OK,Thread Group 1-1,text,true,,412,258,1,2,https://restful-booker.herokuapp.com/booking/13056,305,0,0
1680591775081,302,Create Booking,200,OK,Thread Group 2-1,text,true,,449,533,1,2,https://restful-booker.herokuapp.com/booking,302,0,0
1680591775387,251,Create Booking,200,OK,Thread Group 2-1,text,true,,445,530,1,2,https://restful-booker.herokuapp.com/booking,250,0,0
1680591775384,267,Delete Booking ,201,Created,Thread Group 1-1,text,true,,248,280,1,2,https://restful-booker.herokuapp.com/booking/13056,267,0,0
1680591775652,244,Get Booking ,404,Not Found,Thread Group 1-1,text,false,"Test failed: code expected to contain /HTTP/1.1 404 Not Found
/",252,258,1,2,https://restful-booker.herokuapp.com/booking/13056,244,0,0
1680591775642,255,Create Booking,200,OK,Thread Group 2-1,text,true,,448,532,1,2,https://restful-booker.herokuapp.com/booking,254,0,0
1680591775901,301,Create Booking,200,OK,Thread Group 2-1,text,true,,444,529,1,2,https://restful-booker.herokuapp.com/booking,301,0,0
1680591775898,304,Create Booking,200,OK,Thread Group 1-1,text,true,,447,531,1,2,https://restful-booker.herokuapp.com/booking,304,0,0
1680591776205,301,Get Booking ,200,OK,Thread Group 1-1,text,true,,417,258,1,2,https://restful-booker.herokuapp.com/booking/13136,300,0,0
1680591776205,301,Create Booking,200,OK,Thread Group 2-1,text,true,,448,532,1,2,https://restful-booker.herokuapp.com/booking,300,0,0
1680591776508,228,Create Booking,200,OK,Thread Group 2-1,text,true,,446,530,1,2,https://restful-booker.herokuapp.com/booking,228,0,0
1680591776506,242,Update Booking ,200,OK,Thread Group 1-1,text,true,,412,531,1,2,https://restful-booker.herokuapp.com/booking/13136,242,0,0
1680591776748,275,Get Booking ,200,OK,Thread Group 1-1,text,true,,412,258,1,2,https://restful-booker.herokuapp.com/booking/13136,275,0,0
1680591776737,286,Create Booking,200,OK,Thread Group 2-1,text,true,,447,532,1,2,https://restful-booker.herokuapp.com/booking,286,0,0
1680591777024,306,Delete Booking ,201,Created,Thread Group 1-1,text,true,,248,280,1,2,https://restful-booker.herokuapp.com/booking/13136,305,0,0
1680591777026,304,Create Booking,200,OK,Thread Group 2-1,text,true,,449,533,1,2,https://restful-booker.herokuapp.com/booking,303,0,0
1680591777331,242,Get Booking ,404,Not Found,Thread Group 1-1,text,false,"Test failed: code expected to contain /HTTP/1.1 404 Not Found
/",252,258,1,2,https://restful-booker.herokuapp.com/booking/13136,242,0,0
1680591777333,240,Create Booking,200,OK,Thread Group 2-1,text,true,,448,533,1,2,https://restful-booker.herokuapp.com/booking,240,0,0
1680591777574,267,Create Booking,200,OK,Thread Group 2-1,text,true,,444,528,1,1,https://restful-booker.herokuapp.com/booking,267,0,0
1680591777844,304,Create Booking,200,OK,Thread Group 2-1,text,true,,447,531,1,1,https://restful-booker.herokuapp.com/booking,304,0,0
1680591778151,304,Create Booking,200,OK,Thread Group 2-1,text,true,,449,534,1,1,https://restful-booker.herokuapp.com/booking,304,0,0
1680591778458,237,Create Booking,200,OK,Thread Group 2-1,text,true,,444,528,1,1,https://restful-booker.herokuapp.com/booking,237,0,0
1680591778697,271,Create Booking,200,OK,Thread Group 2-1,text,true,,446,531,1,1,https://restful-booker.herokuapp.com/booking,270,0,0
1680591778972,302,Create Booking,200,OK,Thread Group 2-1,text,true,,443,527,1,1,https://restful-booker.herokuapp.com/booking,302,0,0
1680591779276,305,Create Booking,200,OK,Thread Group 2-1,text,true,,448,532,1,1,https://restful-booker.herokuapp.com/booking,305,0,0
1680591779584,303,Create Booking,200,OK,Thread Group 2-1,text,true,,451,536,1,1,https://restful-booker.herokuapp.com/booking,303,0,0
